timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1773884230,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884231,1,0,0,1.25,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884232,1,0,0,0.56,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884233,1,0,0,0.36,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884234,1,0,0,0.26,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884235,1,0,0,0.21,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884236,1,0,0,0.17,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884237,1,0,0,0.15,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884238,1,0,0,0.13,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884239,1,0,0,0.11,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884240,1,0,0,0.10,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
