timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1773884261,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884262,2878,2816,0,2897.01,2816.95,289535,316415,376319,501247,645631,212352,1542143,344587.57,87324.54,2816,0,0,0
1773884263,5694,5632,0,2856.01,2816.15,291327,322559,386047,505087,637951,212352,1542143,349625.55,85826.61,5632,0,0,0
1773884264,8560,8512,0,2864.15,2880.21,291071,323327,386815,503807,628735,211072,1542143,349331.56,84143.45,8512,0,0,0
1773884265,11444,11392,0,2867.97,2879.31,290047,323583,387327,502783,622591,211072,1542143,348638.34,83404.34,11392,0,0,0
1773884266,14395,14336,0,2883.31,2944.22,289023,320767,383999,498687,619007,211072,2079743,346486.01,83497.44,14336,0,0,0
1773884267,17383,17344,0,2904.23,3008.30,287487,318463,381183,495871,616959,201216,2079743,344535.04,82603.91,17344,0,0,0
1773884268,20369,20352,0,2919.08,3007.74,286719,317183,379391,494079,610303,201216,2079743,343012.86,81225.16,20352,0,0,0
1773884269,23272,23232,0,2914.17,2879.94,286975,316927,379135,495615,611839,201216,2079743,343173.85,81523.18,23232,0,0,0
1773884270,26229,26176,0,2917.44,2943.50,286719,316159,378623,494335,611327,201216,2079743,342606.11,81224.15,26176,0,0,0
1773884271,29057,29056,0,2913.69,2880.02,287487,317439,379903,495615,609279,201216,2079743,343630.77,80912.73,29056,0,0,0
