timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1773884272,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884273,4090,4032,0,4099.52,4031.48,193407,218623,280831,378623,473599,152064,1038847,243774.98,71129.24,4032,0,0,0
1773884274,8131,8128,0,4098.07,4096.64,193791,219007,281343,384255,480255,152064,1038847,245280.09,74322.39,8128,0,0,0
1773884275,12134,12096,0,4054.55,3968.23,194175,219775,282367,386815,496895,151424,1213439,246548.97,76747.43,12096,0,0,0
1773884276,16178,16128,0,4048.88,4031.98,194943,221183,282623,384511,485119,146560,1213439,246683.89,74335.28,16128,0,0,0
1773884277,20039,20032,0,4019.82,3904.04,195967,223871,286719,388095,484607,146560,1213439,248924.13,74317.41,20032,0,0,0
1773884278,24074,24064,0,4021.79,4031.64,195967,223487,286207,387327,482815,146560,1328127,248658.65,74187.34,24064,0,0,0
1773884279,28276,28224,0,4041.44,4158.99,194815,221439,284159,384767,481023,146560,1328127,246989.11,73883.19,28224,0,0,0
1773884279,32342,32320,0,4048.47,4097.55,194559,221183,283647,385279,481279,146560,1328127,246788.74,74097.67,32320,0,0,0
1773884280,36495,36480,0,4060.86,4159.79,193791,219647,282623,384767,484351,146560,1328127,246035.43,74931.05,36480,0,0,0
1773884281,40574,40512,0,4057.90,4031.31,193663,219519,282367,384767,484095,146560,1328127,245874.71,74765.50,40512,0,0,0
