timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1773884251,1,0,0,1264.65,9.79,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884252,2233,2176,0,2250.12,2177.37,371199,419071,500479,633855,731647,316672,3815423,447777.00,123442.02,2176,0,0,0
1773884253,4343,4288,0,2178.94,2110.17,381183,439551,517119,640511,732671,316672,3815423,460429.88,111200.43,4288,0,0,0
1773884254,6579,6528,0,2200.17,2241.97,376063,430591,510975,636927,756735,305920,3815423,455410.10,110985.66,6528,0,0,0
1773884255,8848,8832,0,2225.86,2302.01,372479,424447,504319,635391,764927,305920,3815423,451565.09,110540.34,8832,0,0,0
1773884256,11054,11008,0,2215.70,2175.41,372735,424191,505343,636415,779775,305920,3815423,452114.00,110926.54,11008,0,0,0
1773884257,13254,13248,0,2220.25,2242.89,372735,423935,505599,636415,788479,305920,3815423,452166.42,109997.49,13248,0,0,0
1773884258,15499,15488,0,2222.69,2237.23,371967,422911,504319,635391,785407,305920,3815423,451154.34,108959.70,15488,0,0,0
1773884259,17686,17664,0,2217.18,2178.77,372479,423935,505855,636927,781823,301824,3815423,451854.75,108146.46,17664,0,0,0
1773884260,19948,19904,0,2219.42,2237.18,371967,422655,504063,635391,780287,297216,3815423,450652.37,106711.54,19904,0,0,0
1773884261,22097,22080,0,2215.33,2178.65,372991,424447,505599,636415,780287,297216,3815423,452006.74,106150.84,22080,0,0,0
