timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1773884219,4415,4352,0,3648729.32,42593.82,234,234,244,255,305,224,50303,253.68,776.35,4352,0,0,0
1773884220,3657716,3657664,0,3652305.09,3652309.35,234,234,235,254,285,223,473855,239.92,375.25,3657664,0,0,0
1773884221,7323457,7323456,0,3658995.95,3665696.45,234,234,234,245,265,223,473855,239.46,357.11,7323456,0,0,0
1773884222,10980988,10980928,0,3658377.97,3657141.21,234,234,234,245,265,223,473855,239.50,322.60,10980928,0,0,0
1773884223,14646824,14646784,0,3660860.40,3668316.62,234,234,234,245,265,223,473855,239.32,315.52,14646784,0,0,0
1773884224,18329095,18329088,0,3665350.68,3683320.88,234,234,234,245,265,223,473855,239.00,298.82,18329088,0,0,0
1773884225,21990553,21990528,0,3664479.25,3660123.08,234,234,234,245,265,223,473855,239.07,288.70,21990528,0,0,0
1773884226,25672591,25672576,0,3666784.07,3680609.92,234,234,234,245,264,214,473855,238.92,286.39,25672576,0,0,0
1773884227,29358674,29358656,0,3669533.81,3688799.97,234,234,234,245,264,214,473855,238.74,280.40,29358656,0,0,0
1773884228,33026490,33026432,0,3669201.84,3666546.74,234,234,234,245,265,214,473855,238.77,275.15,33026432,0,0,0
1773884229,36659748,36659712,0,3665532.55,3632512.31,234,234,235,245,265,214,473855,239.01,274.07,36659712,0,0,0
