timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884376,0,0,0,0.00,0.00,0.000,0.000,0.000
1773884377,1063,0,1063,1063.06,0.00,0.000,0.000,0.000
1773884378,2528,0,2528,1465.76,0.00,0.000,0.000,0.000
1773884379,4095,0,4095,1566.45,0.00,0.000,0.000,0.000
1773884380,5687,0,5687,1592.00,0.00,0.000,0.000,0.000
1773884381,7190,0,7190,1502.83,0.00,0.000,0.000,0.000
1773884382,8805,0,8805,1615.23,0.00,0.000,0.000,0.000
1773884383,10603,0,10603,1798.29,0.00,0.000,0.000,0.000
1773884384,12390,0,12390,1785.62,0.00,0.000,0.000,0.000
1773884385,14178,0,14178,1788.81,0.00,0.000,0.000,0.000
1773884386,16014,0,16014,1836.26,0.00,0.000,0.000,0.000
1773884387,16015,0,16015,1.00,0.00,0.000,0.000,0.000
