timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884366,11,0,11,5955.83,0.00,0.000,0.000,0.000
1773884367,20017,20002,15,20018.86,20014.80,0.391,2.419,2.642
1773884368,40008,39997,11,19979.80,19982.75,0.368,2.376,2.632
1773884369,60015,59994,21,20016.58,20007.59,0.368,2.396,2.650
1773884370,79995,79984,11,19981.38,19991.44,0.369,2.410,2.656
1773884371,100007,99995,12,20000.87,19999.79,0.366,2.402,2.644
1773884372,120021,119984,37,20021.43,19996.43,0.368,2.400,2.650
1773884373,140020,139983,37,20003.33,20002.49,0.368,2.390,2.654
1773884374,160010,159976,34,19982.01,19985.88,0.369,2.392,2.658
1773884375,180021,180010,11,19997.07,20019.96,0.370,2.396,2.662
1773884376,200006,199994,12,19998.92,19997.42,0.369,2.392,2.660
