timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884398,0,0,0,0.00,0.00,0.000,0.000,0.000
1773884399,20026,19928,98,20004.16,19906.23,0.461,0.772,0.902
1773884400,40012,39935,77,19998.87,20019.72,0.465,0.760,0.904
1773884401,60004,59901,103,20000.57,19974.74,0.467,0.762,0.904
1773884402,80021,79925,96,19999.96,20005.66,0.464,0.764,0.921
1773884403,100007,99933,74,19999.92,20023.19,0.465,0.771,0.951
1773884404,119972,119905,67,19967.94,19974.87,0.463,0.769,0.937
1773884405,140019,139919,100,20031.92,19998.39,0.463,0.765,0.931
1773884406,160024,159925,99,20000.89,20002.19,0.462,0.767,0.934
1773884407,180019,179921,98,19999.13,19999.86,0.462,0.765,0.930
1773884408,199998,199930,68,19991.23,20021.89,0.463,0.767,0.934
