timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884408,0,0,0,0.00,0.00,0.000,0.000,0.000
1773884409,3347,3347,0,3346.48,3346.55,0.277,0.527,0.690
1773884410,6535,6534,1,3188.49,3187.53,0.285,0.534,0.694
1773884411,9633,9633,0,3097.70,3098.65,0.290,0.544,0.697
1773884412,12923,12922,1,3289.85,3288.79,0.288,0.539,0.692
1773884413,16063,16061,2,3140.54,3139.64,0.290,0.541,0.697
1773884414,19433,19432,1,3369.19,3370.19,0.286,0.536,0.692
1773884415,22693,22692,1,3260.78,3260.70,0.286,0.536,0.692
1773884416,25902,25902,0,3208.84,3209.87,0.287,0.537,0.690
1773884417,29066,29065,1,3163.54,3162.58,0.289,0.538,0.692
1773884418,32324,32324,0,3257.90,3258.79,0.288,0.537,0.692
