timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884387,0,0,0,0.00,0.00,0.000,0.000,0.000
1773884388,1655,1539,116,1655.94,1539.89,0.449,0.687,0.870
1773884389,3776,3660,116,2120.49,2120.49,0.447,0.674,0.821
1773884390,5910,5794,116,2133.24,2133.31,0.442,0.671,0.811
1773884391,8102,7986,116,2191.55,2191.55,0.437,0.670,0.814
1773884392,10254,10138,116,2153.50,2153.43,0.436,0.670,0.817
1773884393,12248,12132,116,1994.28,1994.27,0.441,0.675,0.820
1773884394,14376,14260,116,2126.91,2126.95,0.441,0.675,0.817
1773884395,16479,16363,116,2103.58,2103.61,0.442,0.675,0.817
1773884396,18517,18401,116,2038.47,2038.46,0.444,0.676,0.817
1773884397,20612,20496,116,2094.09,2094.10,0.444,0.677,0.820
1773884398,20613,20497,116,1.00,1.00,0.444,0.677,0.820
