timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884355,5,0,5,2800.50,0.00,0.000,0.000,0.000
1773884356,20014,19998,16,20008.62,19997.14,0.210,0.390,1.331
1773884357,40022,40000,22,20006.00,20000.42,0.212,0.387,1.328
1773884358,60029,60005,24,20003.35,20000.81,0.215,0.392,1.364
1773884359,80021,80016,5,20003.11,20022.83,0.213,0.398,1.413
1773884360,100025,99998,27,19999.37,19977.35,0.212,0.400,1.363
1773884361,120031,119998,33,20003.47,19996.87,0.212,0.401,1.349
1773884362,140031,140006,25,19994.22,20002.87,0.211,0.401,1.333
1773884363,160044,160013,31,20006.05,19999.43,0.210,0.403,1.334
1773884364,180025,180002,23,19992.15,20000.77,0.209,0.402,1.333
1773884365,199986,199980,6,19955.33,19971.73,0.209,0.401,1.332
